Choice	HH.Income	Vehicle.Age	Stop.Signs.Arterial	Stop.Signs.Two.Lane	Stop.Signs.Freeway	Distance.Arterial	Distance.Two.Lane	Distance.Freeway
2	4	8	14	7	7	4.8094038	4.411727	6.1142808
2	1	1	14	7	7	4.8094038	4.411727	6.1142808
2	2	5	14	7	7	4.8094038	4.411727	6.1142808
2	4	3	14	7	7	4.8094038	4.411727	6.1142808
2	4	3	14	7	7	4.8094038	4.411727	6.1142808
2	3	5	14	7	7	4.8094038	4.411727	6.1142808
2	1	6	14	7	7	4.8094038	4.411727	6.1142808
1	1	0	14	7	7	4.8094038	4.411727	6.1142808
2	1	2	14	7	7	4.8094038	6.7170097	6.1142808
3	2	3	23	10	5	8.5189827	4.411727	7.1146865
2	3	6	14	7	7	4.8094038	4.411727	6.1142808
2	2	4	14	7	7	4.8094038	4.411727	6.1142808
2	2	1	14	7	7	4.8094038	6.7170097	6.1142808
3	2	1	23	10	5	8.5189827	2.9080116	7.1146865
2	2	1	14	11	7	5.2132943	4.411727	7.7174154
2	1	7	14	7	7	4.8094038	7.0152673	6.1142808
1	2	1	13	13	12	5.9154424	7.0152673	8.7178211
1	2	15	13	13	12	5.9154424	4.411727	8.7178211
2	3	6	14	7	7	4.8094038	4.411727	6.1142808
2	2	7	14	7	7	4.8094038	4.411727	6.1142808
3	2	0	14	7	7	4.8094038	4.411727	6.1142808
2	1	1	14	7	7	4.8094038	5.0082422	6.1142808
2	4	1	17	8	8	4.5111462	4.411727	6.7170097
2	1	6	14	7	7	4.8094038	5.0082422	6.1142808
2	2	8	17	8	8	4.5111462	4.411727	6.7170097
1	2	1	14	7	7	4.8094038	4.411727	6.1142808
2	3	0	14	7	7	4.8094038	4.411727	6.1142808
2	3	0	14	7	7	4.8094038	5.0082422	6.1142808
2	1	15	17	8	8	4.5111462	4.411727	6.7170097
2	2	6	14	7	7	4.8094038	4.411727	6.1142808
2	1	7	14	7	7	4.8094038	6.7170097	6.1142808
1	2	1	23	10	5	8.5189827	4.411727	7.1146865
2	1	4	14	7	7	4.8094038	4.411727	6.1142808
1	3	4	14	7	7	4.8094038	7.0152673	6.1142808
1	1	0	13	13	12	5.9154424	4.411727	8.7178211
2	4	2	14	7	7	4.8094038	4.411727	6.1142808
2	3	0	14	7	7	4.8094038	4.411727	6.1142808
2	2	2	14	7	7	4.8094038	5.0082422	6.1142808
2	2	5	17	8	8	4.5111462	4.411727	6.7170097
2	1	5	14	7	7	4.8094038	4.411727	6.1142808
2	3	4	14	7	7	4.8094038	4.411727	6.1142808
2	1	5	14	7	7	4.8094038	4.411727	6.1142808
1	1	6	14	7	7	4.8094038	4.411727	6.1142808
1	2	7	14	7	7	4.8094038	4.411727	6.1142808
2	2	0	14	7	7	4.8094038	3.7095789	6.1142808
2	2	2	15	3	1	6.2137	5.0082422	4.6105654
2	1	5	17	8	8	4.5111462	6.7170097	6.7170097
3	3	5	23	10	5	8.5189827	6.7170097	7.1146865
2	3	0	23	10	5	8.5189827	4.411727	7.1146865
2	2	2	14	7	7	4.8094038	4.411727	6.1142808
2	2	6	14	7	7	4.8094038	6.7170097	6.1142808
2	2	3	23	10	5	8.5189827	5.0082422	7.1146865
1	4	2	17	8	8	4.5111462	4.411727	6.7170097
1	4	1	14	7	7	4.8094038	4.411727	6.1142808
2	1	2	14	7	7	4.8094038	4.411727	6.1142808
1	1	8	14	7	7	4.8094038	4.3123078	6.1142808
1	2	4	13	7	6	4.3123078	4.3123078	5.7103903
2	4	13	13	7	6	4.3123078	4.3123078	5.7103903
2	1	4	13	7	6	4.3123078	4.908823	5.7103903
1	1	1	16	8	7	4.1072557	4.3123078	6.2137
2	3	6	13	7	6	4.3123078	4.3123078	5.7103903
1	3	3	13	7	6	4.3123078	4.3123078	5.7103903
2	1	8	13	7	6	4.3123078	6.6175905	5.7103903
3	1	5	22	10	4	8.015673	4.908823	6.6175905
1	1	1	16	8	7	4.1072557	4.3123078	6.2137
1	1	4	13	7	6	4.3123078	4.908823	5.7103903
1	1	0	16	8	7	4.1072557	4.3123078	6.2137
1	3	2	13	7	6	4.3123078	4.3123078	5.7103903
2	2	1	13	7	6	4.3123078	4.3123078	5.7103903
2	3	3	13	7	6	4.3123078	4.3123078	5.7103903
1	4	2	13	7	6	4.3123078	8.015673	5.7103903
2	1	7	18	10	2	7.6179962	4.3123078	8.3201443
3	4	5	13	7	6	4.3123078	8.015673	5.7103903
3	4	1	18	10	2	7.6179962	4.3123078	8.3201443
1	2	3	13	7	6	4.2066749	4.3123078	5.7103903
2	3	3	13	7	6	4.3123078	4.3123078	5.7103903
2	4	1	13	7	6	4.3123078	6.9158481	5.7103903
2	2	3	12	13	11	5.4121327	4.3123078	8.2207251
1	2	3	13	7	6	4.2066749	4.3123078	5.7103903
2	2	8	13	7	6	4.3123078	4.908823	5.7103903
1	2	1	16	8	7	4.1072557	4.908823	6.2137
3	1	21	16	8	7	4.2066749	4.908823	6.2137
3	2	15	16	8	7	4.2066749	4.3123078	6.2137
2	1	11	13	7	6	4.3123078	4.3123078	5.7103903
2	1	1	13	7	6	4.3123078	4.3123078	5.7103903
2	1	5	13	7	6	4.3123078	3.6101597	5.7103903
2	1	2	13	7	6	5.1138751	3.6101597	6.5119576
2	2	0	13	7	6	5.1138751	5.8098095	6.5119576
2	2	3	22	10	4	8.9166595	3.6101597	7.518577
2	3	1	13	7	6	5.1138751	3.6101597	6.5119576
2	1	2	13	7	6	5.1138751	4.2066749	6.5119576
2	1	0	16	8	7	4.908823	3.6101597	7.1146865
2	2	1	13	7	6	5.1138751	5.8098095	6.5119576
3	2	13	22	10	4	8.9166595	3.6101597	7.518577
2	3	0	13	7	6	5.1138751	3.6101597	6.5119576
2	2	1	13	7	6	5.1138751	4.2066749	6.5119576
2	1	4	16	8	7	4.908823	3.6101597	7.1146865
2	1	4	13	7	6	5.1138751	3.6101597	6.5119576
2	2	6	13	7	6	5.1138751	3.6101597	6.5119576
2	3	3	13	7	6	5.1138751	4.2066749	6.5119576
2	1	16	16	8	7	4.908823	3.6101597	7.1146865
2	1	6	13	7	6	5.1138751	3.6101597	6.5119576
2	1	6	13	7	6	5.1138751	5.8098095	6.5119576
2	4	3	22	10	4	8.9166595	3.6101597	7.518577
2	1	2	13	7	6	5.1138751	3.6101597	6.5119576
2	2	5	13	7	6	5.1138751	4.2066749	6.5119576
2	1	2	16	8	7	4.908823	3.6101597	7.1146865
2	2	1	13	7	6	5.1138751	3.6101597	6.5119576
1	2	6	13	7	6	5.1138751	3.6101597	6.5119576
2	1	1	13	7	6	5.1138751	3.6101597	6.5119576
2	1	13	13	7	6	5.1138751	5.8098095	6.5119576
2	2	2	22	10	4	8.9166595	5.8098095	7.518577
2	1	1	22	10	4	8.9166595	4.2066749	7.518577
3	2	4	16	8	7	4.908823	5.8098095	7.1146865
2	1	5	22	10	4	8.9166595	3.6101597	7.518577
2	1	2	13	7	6	5.1138751	3.6101597	6.5119576
1	1	2	13	7	6	5.1138751	3.6101597	6.5119576
2	1	0	13	7	6	5.1138751	4.2066749	6.5119576
2	1	4	16	8	7	4.908823	4.2066749	7.1146865
2	2	0	16	8	7	4.908823	5.8098095	7.1146865
2	3	19	22	10	4	8.9166595	3.6101597	7.518577
2	1	4	13	7	6	5.1138751	4.2066749	6.5119576
2	2	2	16	8	7	4.908823	5.8098095	7.1146865
2	1	4	22	10	4	8.9166595	3.6101597	7.518577
2	2	0	13	7	6	5.1138751	3.6101597	6.5119576
2	1	4	13	7	6	5.1138751	4.2066749	6.5119576
2	1	16	16	8	7	4.908823	5.3127135	7.1146865
1	2	2	17	8	8	5.1138751	7.0152673	7.3135249
3	2	4	23	10	5	9.1217116	5.3127135	7.4191578
1	4	3	17	8	8	5.0082422	5.3127135	7.3135249
2	2	1	17	8	8	5.1138751	5.3127135	7.3135249
1	3	4	17	8	8	5.0082422	4.7099846	7.3135249
1	2	4	14	7	7	5.1138751	5.3127135	6.4125384
1	3	5	17	8	8	5.1138751	4.7099846	7.3135249
2	1	2	14	7	7	5.1138751	4.7099846	6.4125384
2	4	5	14	7	7	5.1138751	8.4195635	6.4125384
3	2	6	19	10	3	8.3201443	4.7099846	9.0222924
2	3	4	14	7	7	5.1138751	4.7099846	6.4125384
2	2	3	14	7	7	5.1138751	7.0152673	6.4125384
3	1	2	23	10	5	9.1217116	5.3127135	7.4191578
2	3	2	17	8	8	5.1138751	4.7099846	7.3135249
2	1	14	14	7	7	5.1138751	3.2062692	6.4125384
2	3	6	14	11	7	5.4121327	5.3127135	8.015673
1	4	1	17	8	8	5.1138751	4.7099846	7.3135249
