EURUSD.Close	EURUSD.High	EURUSD.Low	USDJPY.Close	USDJPY.High	USDJPY.Low	USDCHF.Close	USDCHF.High	USDCHF.Low	GBPUSD.Close	GBPUSD.High	GBPUSD.Low	USDCAD.Close	USDCAD.High	USDCAD.Low	EURGBP.Close	EURGBP.High	EURGBP.Low	EURJPY.Close	EURJPY.High	EURJPY.Low	EURCHF.Close	EURCHF.High	EURCHF.Low	AUDUSD.Close	AUDUSD.High	AUDUSD.Low	GBPJPY.Close	GBPJPY.High	GBPJPY.Low	CHFJPY.Close	CHFJPY.High	CHFJPY.Low	GBPCHF.Close	GBPCHF.High	GBPCHF.Low	NZDUSD.Close	NZDUSD.High	NZDUSD.Low
2010-01-01	1.4318	1.4318	1.4318	93.08	93.08	93.08	1.0348	1.0348	1.0348	1.6166	1.6166	1.6166	1.0482	1.0482	1.0482	0.8857	0.8857	0.8857	133.29	133.29	133.29	1.482	1.482	1.482	0.8991	0.8991	0.8991	150.51	150.51	150.51	89.9	89.9	89.9	1.673	1.673	1.673	0.7264	0.7264	0.7264
2010-01-04	1.4411	1.4455	1.4258	92.54	93.21	92.2	1.0298	1.0419	1.0264	1.6099	1.624	1.606	1.0412	1.0517	1.0353	0.895	0.8967	0.8856	133.39	133.8	132.39	1.4839	1.4896	1.4803	0.9124	0.9136	0.894	149.01	150.71	148.68	89.87	90.04	89.28	1.6577	1.6781	1.6552	0.7336	0.7352	0.72
2010-01-05	1.4366	1.4483	1.4347	91.65	92.55	91.26	1.0334	1.036	1.0254	1.5993	1.6153	1.5967	1.0387	1.0425	1.0338	0.8981	0.9015	0.8945	131.68	133.47	131.47	1.4847	1.4878	1.4825	0.9115	0.9173	0.9092	146.61	149.15	146.16	88.69	89.88	88.44	1.6529	1.6596	1.6468	0.734	0.739	0.7318
2010-01-06	1.4412	1.4434	1.4285	92.32	92.74	91.53	1.0275	1.038	1.025	1.6023	1.6064	1.5939	1.0314	1.0409	1.0314	0.8994	0.9012	0.8926	133.08	133.5	131.26	1.4808	1.4857	1.4793	0.9201	0.9217	0.91	147.94	148.47	146.03	89.86	90.12	88.46	1.6462	1.6633	1.6424	0.7377	0.7386	0.7304
2010-01-07	1.4319	1.4446	1.4299	93.27	93.4	92.11	1.0335	1.0371	1.0245	1.5936	1.6058	1.5897	1.0348	1.0373	1.0293	0.8984	0.9026	0.898	133.56	133.67	132.41	1.48	1.4842	1.4769	0.917	0.9266	0.916	148.63	148.75	147.09	90.23	90.34	89.45	1.6472	1.6503	1.6406	0.7317	0.7427	0.7315
2010-01-08	1.4411	1.4439	1.4264	92.59	93.76	92.3	1.0238	1.0384	1.0218	1.6029	1.611	1.5917	1.0306	1.0384	1.0296	0.8991	0.9007	0.8922	133.44	134.13	132.43	1.4755	1.4858	1.4744	0.9242	0.9253	0.9122	148.39	149.71	147.99	90.41	90.61	89.43	1.641	1.6609	1.6376	0.7366	0.7379	0.7286
2010-01-11	1.4526	1.4557	1.4409	92.06	92.66	91.82	1.0151	1.0242	1.0133	1.6108	1.6193	1.605	1.0329	1.0343	1.0254	0.9014	0.9027	0.8973	133.72	134.38	133.42	1.4751	1.4793	1.4726	0.9315	0.9325	0.9277	148.27	149.6	148.1	90.66	91.04	90.38	1.6356	1.6461	1.6319	0.7432	0.7436	0.7383
2010-01-12	1.4487	1.4548	1.4454	90.95	92.43	90.74	1.0182	1.0209	1.0145	1.6162	1.6194	1.6064	1.04	1.0414	1.0314	0.896	0.9027	0.8957	131.76	133.8	131.64	1.4755	1.4772	1.4736	0.9197	0.9306	0.9169	147	148.64	146.64	89.3	90.7	89.2	1.6458	1.6472	1.6355	0.7381	0.7431	0.7365
2010-01-13	1.4506	1.4582	1.4456	91.45	91.56	90.91	1.0181	1.0218	1.0139	1.6283	1.6306	1.6138	1.0302	1.041	1.029	0.8908	0.8968	0.8893	132.68	133.21	131.54	1.4777	1.48	1.4746	0.924	0.9267	0.9186	148.93	149.06	146.74	89.78	90.03	89.19	1.6586	1.6615	1.645	0.7397	0.7425	0.7371
2010-01-14	1.4496	1.4555	1.4447	91.11	92.04	90.85	1.0184	1.0233	1.0161	1.6323	1.6347	1.625	1.023	1.0322	1.0226	0.8879	0.8936	0.8866	132.07	133.62	131.7	1.4765	1.4811	1.4754	0.9312	0.933	0.9217	148.7	150	148.41	89.44	90.31	89.07	1.6625	1.6679	1.6553	0.7424	0.7441	0.739
