Africa	Americas	Asia	Europe	Oceania	Not.Set
201301	5	250	80	200	16	12
201302	22	455	118	290	34	18
201303	27	1143	287	826	59	49
201304	98	1332	402	976	136	24
201305	62	1171	398	1051	124	19
201306	78	1201	427	972	150	32
201307	51	1322	588	1133	146	24
201308	67	1319	531	1078	190	21
201309	75	1860	695	1293	239	26
201310	70	2475	657	1757	250	19
201311	103	3058	893	2184	249	43
201312	112	2697	956	1902	165	55
201401	158	2947	1114	2730	207	24
201402	133	3683	1084	2815	282	12
201403	185	4732	1337	3306	400	18
201404	201	4956	1523	3320	357	28
201405	172	4321	1610	3728	486	26
201406	124	3578	1467	3221	465	21
201407	189	3313	1158	2655	328	23
201408	164	3552	1194	2496	547	16
201409	148	4674	1486	3100	474	19
201410	147	5817	1697	3951	516	26
201411	215	6649	2039	4639	542	46
201412	156	5619	1987	3828	303	37
201501	206	5364	1910	4561	344	26
201502	224	7069	1823	4607	442	15
