Serving.Size	Calories	Total.Fat	Saturated.Fat	Cholesterol	Sodium	Total.Carbohydrate	Dietary.Fiber Sugars Protein
Apple		125		65		0		0		0	1			17	      3	     13 0
Apricots.Dried	250		213		0		0		0	10			55	      7	     49	3
Banana.Chips	85		441		29		25		0	5			50	      7	     30	2
Banana		225		200		1		0		0	2			51	      6	     28	2
Beef.Jerky	20		82		5		2		10	443			2	      0	     2	7
Beer.Light	29		9		0		0		0	1			0	      0	     0	0
Bit.O.Honey	40		150		3		2		0	118			32	      0	     19	1
Carrots.Baby	15		5		0		0		0	12			1	      0	     1	0
Cherries	155		77		0		0		0	5			19	      2	     13	2
Cranberries.Dried		40		123		1		0	0			1	      33     2	26 0
Dates				24		66		0		0	0			0	      18     2	16 0
Fritolay			28		137		6		1	0			92	      19     2	2  2
Granola.Bar			24		116		6		1	0			68	      15     1	0  2
Grapes				92		62		0		0	0			2	      16     1	15 1
Jellybeans			11		41		0		0	0			5	      10     0	8  0
Mangos				165		107		0		0	0			3	      28     3	24 1
M&Ms				208		1023		44		27	29			127	      148    6	132 9
Marshmallows			50		159		0		0	0			40	      41     0	29  1
Nuts.Mixed			142		876		80		12	0			595	      30     13	6   24
Nuts.Pistachio			123		702		57		7	0			12	      34     13	10  26
Oatmeal.Quaker			40		133		1		0	0			1	      29     5	0   5
Oranges				185		85		0		0	0			0	      21     4	17  1
Pickles.Dill			143		17		0		0	0			1251	      4	     2	2   1
Popcorn.Microwave		28		120		3		0	0			137	      21     4	0   4
Potato.Chips			198		1026		56		7	0			1220	      125    10	2   12
Pretzels			143		483		4		1	4			2008	      99     2	0   12
Pumpkin.Seeds.Salted		64		285		12		2	0			368	      34     0	0   12
Rolo				48		228		10		7	6			90	      33     0	31  2
Salmon.Atlantic.Wild		154		280		13		2	109			86	      0	     0	0   39
Snickers			15		71		4		1	2			37	      9	     0	8   1
Strawberries			152		49		0		0	0			2	      12     3	7   1
Sunflower.Seeds.Salted		128		745		64		7	0			525	      31     12	3   25
Tortilla.Chips			28		137		7		1	0			118	      18     1	0   2
Trail.Mix.Regular		150		693		44		8	0			343	      67     0	0   21
Trail.Mix.Tropical		140		570		24		12	0			14	      92     0	0   9
Turkey.Breast			45		42		0		0	19			540	      1	     0	0   9
Scooby.Snacks			312		1566		78		59	22			618	      203    3	151 15
Twix				58		311		19		9	3			131	      31     2	21  5
Twizzlers			71		249		2		0	0			204	      57     0	28  2
